File,Namespace,Has i18n,String,Line,Type,Suggested Key
components\workflow-editor\node-config-panel.tsx,common,Yes,"outline",139,PropString,common.outline
components\workflow-editor\node-config-panel.tsx,common,Yes,"ghost",158,PropString,common.ghost
components\workflow-editor\node-config-panel.tsx,common,Yes,"icon",159,PropString,common.icon
components\workflow-editor\node-config-panel.tsx,common,Yes,"properties",193,PropString,common.properties
components\workflow-editor\node-config-panel.tsx,common,Yes,"inputs",196,PropString,common.inputs
components\workflow-editor\node-config-panel.tsx,common,Yes,"outputs",199,PropString,common.outputs
components\workflow-editor\node-config-panel.tsx,common,Yes,"properties",206,PropString,common.properties
components\workflow-editor\node-config-panel.tsx,common,Yes,"label",210,PropString,common.label
components\workflow-editor\node-config-panel.tsx,common,Yes,"label",214,PropString,common.label
components\workflow-editor\node-config-panel.tsx,common,Yes,"description",222,PropString,common.description
components\workflow-editor\node-config-panel.tsx,common,Yes,"description",226,PropString,common.description
components\workflow-editor\node-config-panel.tsx,common,Yes,"inputs",336,PropString,common.inputs
components\workflow-editor\node-config-panel.tsx,common,Yes,"input",340,PropString,common.input
components\workflow-editor\node-config-panel.tsx,common,Yes,"outputs",345,PropString,common.outputs
components\workflow-editor\node-config-panel.tsx,common,Yes,"output",349,PropString,common.output
components\workflow-editor\node-config-panel.tsx,common,Yes,"GPT-4o (OpenAI)",425,JSXText,common.gpt4o_openai
components\workflow-editor\node-config-panel.tsx,common,Yes,"gpt-4o",425,PropString,common.gpt4o
components\workflow-editor\node-config-panel.tsx,common,Yes,"GPT-4o Mini (OpenAI)",426,JSXText,common.gpt4o_mini_openai
components\workflow-editor\node-config-panel.tsx,common,Yes,"gpt-4o-mini",426,PropString,common.gpt4omini
components\workflow-editor\node-config-panel.tsx,common,Yes,"o1 (OpenAI)",427,JSXText,common.o1_openai
components\workflow-editor\node-config-panel.tsx,common,Yes,"o1",427,PropString,common.o1
components\workflow-editor\node-config-panel.tsx,common,Yes,"o1 Mini (OpenAI)",428,JSXText,common.o1_mini_openai
components\workflow-editor\node-config-panel.tsx,common,Yes,"o1-mini",428,PropString,common.o1mini
components\workflow-editor\node-config-panel.tsx,common,Yes,"Claude Sonnet 4 (Anthropic)",430,JSXText,common.claude_sonnet_4_anthropic
components\workflow-editor\node-config-panel.tsx,common,Yes,"claude-sonnet-4-20250514",430,PropString,common.claudesonnet420250514
components\workflow-editor\node-config-panel.tsx,common,Yes,"Claude Opus 4 (Anthropic)",431,JSXText,common.claude_opus_4_anthropic
components\workflow-editor\node-config-panel.tsx,common,Yes,"claude-opus-4-20250514",431,PropString,common.claudeopus420250514
components\workflow-editor\node-config-panel.tsx,common,Yes,"Claude 3.5 Haiku (Anthropic)",432,JSXText,common.claude_35_haiku_anthropic
components\workflow-editor\node-config-panel.tsx,common,Yes,"claude-3-5-haiku-20241022",432,PropString,common.claude35haiku20241022
components\workflow-editor\node-config-panel.tsx,common,Yes,"Gemini 2.0 Flash (Google)",434,JSXText,common.gemini_20_flash_google
components\workflow-editor\node-config-panel.tsx,common,Yes,"gemini-2.0-flash-exp",434,PropString,common.gemini20flashexp
components\workflow-editor\node-config-panel.tsx,common,Yes,"Gemini 1.5 Pro (Google)",435,JSXText,common.gemini_15_pro_google
components\workflow-editor\node-config-panel.tsx,common,Yes,"gemini-1.5-pro",435,PropString,common.gemini15pro
components\workflow-editor\node-config-panel.tsx,common,Yes,"Gemini 1.5 Flash (Google)",436,JSXText,common.gemini_15_flash_google
components\workflow-editor\node-config-panel.tsx,common,Yes,"gemini-1.5-flash",436,PropString,common.gemini15flash
components\workflow-editor\node-config-panel.tsx,common,Yes,"DeepSeek Chat",438,JSXText,common.deepseek_chat
components\workflow-editor\node-config-panel.tsx,common,Yes,"deepseek-chat",438,PropString,common.deepseekchat
components\workflow-editor\node-config-panel.tsx,common,Yes,"DeepSeek Reasoner",439,JSXText,common.deepseek_reasoner
components\workflow-editor\node-config-panel.tsx,common,Yes,"deepseek-reasoner",439,PropString,common.deepseekreasoner
components\workflow-editor\node-config-panel.tsx,common,Yes,"Text",482,JSXText,common.text
components\workflow-editor\node-config-panel.tsx,common,Yes,"text",482,PropString,common.text
components\workflow-editor\node-config-panel.tsx,common,Yes,"JSON",483,JSXText,common.json
components\workflow-editor\node-config-panel.tsx,common,Yes,"json",483,PropString,common.json
components\workflow-editor\node-config-panel.tsx,common,Yes,"Markdown",484,JSXText,common.markdown
components\workflow-editor\node-config-panel.tsx,common,Yes,"markdown",484,PropString,common.markdown
components\workflow-editor\node-config-panel.tsx,common,Yes,"🔍 Web Search",549,JSXText,common._web_search
components\workflow-editor\node-config-panel.tsx,common,Yes,"web_search",549,PropString,common.websearch
components\workflow-editor\node-config-panel.tsx,common,Yes,"📚 RAG Search",550,JSXText,common._rag_search
components\workflow-editor\node-config-panel.tsx,common,Yes,"rag_search",550,PropString,common.ragsearch
